cliente_id,tenure_meses,plano,mensalidade,contrato,usuarios_ativos,logins_30d,features_usadas,tickets_suporte,nps,atraso_pagamento_dias,desconto_ativo,integracoes_ativas,churn
C00116,17,Basic,47.59,Mensal,5,7,4,0,2,0.1,1,0,1
C00117,7,Enterprise,488.27,Bienal,57,16,9,1,0,2.4,0,4,0
C00118,1,Basic,46.37,Bienal,2,12,3,4,10,2.6,1,1,0
C00119,5,Pro,145.11,Mensal,21,8,5,2,7,5.6,0,0,1
C00120,52,Pro,145.33,Mensal,14,5,9,1,9,0.0,0,6,0
C00121,6,Enterprise,481.96,Mensal,99,6,12,1,3,5.1,0,3,1
C00122,2,Enterprise,480.59,Anual,104,17,9,3,2,1.9,0,6,0
C00123,50,Enterprise,492.24,Bienal,62,9,16,6,6,0.4,1,5,0
C00124,5,Basic,48.31,Anual,3,17,16,0,7,3.0,1,5,0
C00125,71,Pro,162.96,Bienal,14,17,2,4,7,6.2,0,3,0
C00126,10,Pro,146.06,Mensal,7,4,14,2,6,1.6,0,5,1
C00127,40,Pro,151.56,Mensal,9,9,1,4,5,0.8,0,0,1
C00128,11,Basic,47.59,Mensal,2,14,4,1,6,2.6,0,2,0
C00129,18,Enterprise,484.29,Anual,109,13,15,0,2,2.1,0,6,1
C00130,12,Basic,44.82,Mensal,4,10,12,2,1,0.7,0,5,1
C00131,11,Basic,45.15,Mensal,3,10,7,3,2,0.2,0,1,0
C00132,16,Basic,46.04,Mensal,3,8,3,2,3,2.4,0,6,0
C00133,19,Basic,49.45,Mensal,3,16,7,1,7,2.2,0,4,0
C00134,15,Pro,157.02,Mensal,16,6,15,6,9,2.2,0,5,0
C00135,14,Basic,44.62,Mensal,3,14,11,0,9,3.0,0,1,0
C00136,7,Pro,144.91,Anual,17,13,3,5,4,3.1,1,1,0
C00137,12,Pro,138.82,Anual,6,13,10,4,10,0.9,1,7,0
C00138,37,Basic,48.35,Mensal,2,9,4,2,10,1.5,0,7,0
C00139,7,Pro,157.01,Anual,8,17,3,1,8,0.8,0,3,0
C00140,16,Basic,47.91,Mensal,4,8,2,0,0,1.3,0,7,0
C00141,30,Pro,148.65,Anual,24,15,15,0,6,1.2,0,6,0
C00142,19,Enterprise,535.31,Mensal,10,6,4,2,3,0.1,0,2,1
C00143,25,Basic,50.12,Mensal,4,8,4,1,9,9.2,0,3,0
C00144,5,Pro,143.34,Mensal,15,5,17,3,2,3.1,0,4,0
C00145,16,Basic,49.39,Mensal,4,4,16,3,4,1.1,1,2,1
C00146,11,Basic,46.97,Mensal,3,7,10,4,2,0.6,1,2,1
C00147,11,Pro,152.13,Anual,23,12,15,1,9,1.8,1,1,0
C00148,35,Basic,50.26,Anual,3,17,1,5,6,2.1,0,5,0
C00149,11,Pro,138.81,Mensal,6,5,4,4,4,2.4,0,3,1
C00150,17,Basic,49.43,Mensal,2,12,7,1,8,3.5,0,7,0
C00151,2,Basic,48.71,Anual,3,10,15,1,6,0.4,0,7,0
C00152,40,Pro,153.06,Mensal,13,8,2,2,6,0.5,0,0,0
C00153,24,Basic,51.04,Mensal,3,7,13,1,1,0.9,0,5,0
C00154,13,Pro,152.56,Mensal,14,2,2,2,4,0.0,0,5,1
C00155,10,Basic,48.26,Mensal,2,16,19,2,5,0.3,0,0,0
C00156,20,Pro,155.95,Mensal,8,5,4,1,4,0.0,0,6,0
C00157,30,Pro,142.5,Mensal,12,4,14,0,3,1.6,0,4,0
C00158,41,Basic,45.76,Mensal,3,7,12,2,10,2.4,0,6,0
C00159,24,Basic,41.17,Anual,1,20,8,4,4,0.2,1,3,0
C00160,14,Basic,48.83,Anual,2,16,15,3,6,1.7,0,3,0
C00161,26,Enterprise,478.5,Anual,16,17,12,0,6,0.7,0,5,0
C00162,23,Basic,49.97,Mensal,2,9,9,2,2,0.9,1,6,1
C00163,14,Basic,44.17,Bienal,4,21,13,2,9,0.5,1,6,0
C00164,23,Pro,144.18,Anual,7,14,6,2,1,1.4,0,3,0
C00165,22,Basic,50.15,Mensal,3,7,15,0,9,0.1,1,4,0
C00166,13,Basic,46.48,Mensal,6,12,14,4,6,3.8,0,7,1
C00167,9,Basic,50.0,Anual,4,19,9,1,3,6.0,0,7,0
C00168,21,Basic,47.64,Mensal,3,13,13,5,2,0.3,1,3,0
C00169,5,Pro,148.76,Anual,20,19,16,2,8,1.7,0,5,0
C00170,4,Pro,153.43,Anual,6,13,13,4,4,0.3,0,1,0
C00171,17,Enterprise,522.77,Bienal,29,16,6,0,6,0.7,0,2,0
C00172,21,Pro,149.69,Bienal,15,17,6,2,3,1.8,0,4,0
C00173,17,Basic,47.01,Anual,3,11,19,1,3,3.9,1,3,1
C00174,18,Basic,47.88,Bienal,4,13,16,1,2,0.5,0,7,0
C00175,20,Pro,153.75,Bienal,11,10,6,1,9,0.7,0,6,0
C00176,35,Enterprise,473.52,Mensal,86,8,14,2,9,0.4,0,0,0
C00177,24,Pro,147.67,Anual,15,21,1,3,1,3.8,0,2,0
C00178,24,Basic,48.05,Mensal,2,7,14,2,1,2.3,0,1,0
C00179,16,Pro,148.23,Mensal,14,9,4,1,8,0.1,0,1,0
C00180,16,Pro,141.48,Mensal,9,12,6,2,3,3.9,0,4,0
C00181,12,Enterprise,452.79,Mensal,88,8,18,0,2,6.0,0,6,0
C00182,18,Pro,152.88,Mensal,16,11,3,3,2,0.2,0,5,0
C00183,5,Basic,51.36,Mensal,2,7,16,2,9,1.0,0,3,0
C00184,35,Basic,44.61,Mensal,3,6,8,4,2,0.7,0,3,0
C00185,7,Basic,49.9,Anual,4,11,9,0,7,0.7,0,1,0
C00186,24,Basic,51.65,Anual,3,16,9,1,5,1.7,0,6,0
C00187,32,Enterprise,513.87,Bienal,46,12,18,2,5,5.1,1,6,0
C00188,24,Basic,47.98,Mensal,3,8,10,1,3,4.0,1,2,1
C00189,55,Basic,46.69,Mensal,1,10,5,2,0,0.6,0,1,0
C00190,1,Basic,49.2,Anual,3,16,1,5,0,4.1,1,3,0
C00191,9,Pro,150.85,Mensal,9,5,5,3,1,0.3,1,5,1
C00192,32,Basic,49.23,Bienal,4,9,4,3,3,6.1,0,2,0
C00193,4,Basic,48.56,Anual,3,20,3,1,1,1.5,1,2,1
C00194,7,Pro,140.93,Mensal,21,6,19,0,3,4.5,0,1,0
C00195,20,Basic,50.04,Mensal,4,6,9,2,8,2.3,1,5,0
C00196,14,Basic,50.15,Mensal,2,6,19,0,0,1.9,0,7,0
C00197,19,Basic,49.49,Mensal,2,10,10,2,6,5.9,1,6,0
C00198,15,Pro,149.83,Mensal,25,8,5,4,5,1.2,0,6,0
C00199,16,Pro,161.51,Anual,14,14,3,0,2,3.6,0,1,0
C00200,7,Pro,144.35,Anual,6,17,15,4,3,0.8,0,6,0
C00201,15,Basic,52.14,Mensal,4,3,3,3,4,2.3,1,6,1
C00202,10,Enterprise,480.69,Mensal,84,10,1,2,2,1.8,0,2,1
C00203,11,Pro,157.26,Mensal,24,8,8,0,3,0.1,0,4,0
C00204,24,Basic,52.02,Mensal,3,4,6,1,4,1.2,1,0,0
C00205,4,Basic,48.28,Anual,2,14,5,0,7,1.0,0,6,0
C00206,1,Basic,53.07,Anual,4,15,10,0,7,0.9,0,0,0
C00207,23,Pro,152.49,Anual,5,17,11,3,3,2.9,0,0,0
C00208,15,Basic,46.85,Mensal,2,7,9,1,3,1.1,0,4,0
C00209,32,Basic,48.08,Mensal,1,6,10,1,8,0.1,1,6,0
C00210,7,Pro,157.44,Anual,1,11,13,2,8,2.1,1,6,0
C00211,12,Pro,155.88,Anual,20,11,4,4,7,4.0,0,7,0
C00212,14,Pro,141.12,Anual,11,16,8,5,7,0.4,0,0,0
C00213,8,Pro,147.96,Mensal,20,6,1,2,2,1.3,0,5,1
C00214,6,Basic,49.5,Anual,3,15,19,3,7,1.4,1,2,0
C00215,23,Pro,145.22,Mensal,18,9,13,1,3,0.5,0,7,0
C00216,4,Basic,54.78,Mensal,2,5,16,1,5,3.2,0,2,0
C00217,5,Basic,49.57,Anual,2,14,15,1,6,0.6,0,3,0
C00218,12,Enterprise,497.46,Mensal,82,6,1,0,8,2.3,0,2,0
C00219,25,Basic,51.92,Anual,4,12,10,2,9,0.5,1,5,0
C00220,9,Basic,48.11,Mensal,2,11,17,1,4,2.0,0,7,0
C00221,8,Pro,156.51,Mensal,10,5,11,3,1,2.9,0,4,1
C00222,11,Basic,44.91,Mensal,1,10,12,5,0,3.2,0,2,0
C00223,17,Basic,47.89,Anual,3,12,19,0,3,1.3,0,2,0
C00224,10,Pro,156.82,Anual,11,17,15,1,4,0.4,0,5,1
C00225,28,Pro,160.7,Mensal,14,7,15,3,6,1.3,0,4,1
C00226,28,Pro,143.24,Mensal,13,11,16,4,3,5.4,0,1,0
C00227,12,Basic,46.82,Mensal,2,3,7,3,3,3.4,0,2,0
C00228,45,Pro,153.23,Mensal,16,4,19,6,8,1.2,0,7,0
C00229,14,Pro,144.36,Anual,18,12,17,1,3,1.7,1,7,0
C00230,28,Basic,48.34,Mensal,5,6,1,2,0,1.2,1,3,1
C00231,17,Basic,51.15,Mensal,3,9,11,3,4,0.0,0,6,0
C00232,17,Basic,47.67,Mensal,4,8,5,1,6,7.4,0,0,0
C00233,3,Basic,44.18,Mensal,2,8,10,1,2,2.0,0,6,1
C00234,5,Basic,45.81,Anual,1,17,16,6,0,1.7,1,2,0
C00235,11,Pro,149.07,Anual,14,12,14,2,6,1.5,0,5,0
C00236,28,Enterprise,452.51,Mensal,107,9,16,1,2,1.8,0,4,0
C00237,17,Basic,48.27,Bienal,3,13,9,0,9,2.6,0,6,0
C00238,11,Pro,138.63,Mensal,22,15,2,1,3,0.8,0,7,0
C00239,21,Basic,53.02,Anual,1,20,17,2,10,0.6,0,2,0
C00240,28,Basic,54.3,Anual,4,18,2,1,0,2.1,1,4,0
C00241,13,Pro,141.12,Mensal,17,10,4,2,5,3.0,0,5,1
C00242,16,Basic,49.63,Anual,1,15,14,0,4,0.1,1,4,0
C00243,14,Enterprise,475.04,Mensal,103,11,9,2,3,1.1,1,2,1
C00244,13,Basic,48.24,Anual,3,17,10,1,3,1.3,0,3,0
C00245,7,Basic,53.42,Mensal,3,5,2,3,4,5.8,0,4,0
C00246,6,Basic,47.86,Mensal,4,6,4,4,0,2.3,0,7,1
C00247,21,Basic,48.3,Anual,3,19,14,3,2,1.2,0,0,0
C00248,28,Pro,141.98,Mensal,6,9,11,3,3,4.7,0,1,1
C00249,11,Pro,157.54,Mensal,14,8,6,4,6,6.2,1,6,1
C00250,10,Basic,41.0,Mensal,1,5,8,2,3,0.5,1,4,1
C00251,2,Basic,47.92,Mensal,3,8,9,2,1,0.9,1,3,0
C00252,2,Pro,148.66,Anual,23,9,18,2,7,0.8,0,2,0
C00253,33,Pro,144.07,Anual,7,14,17,3,3,0.1,0,7,0
C00254,7,Basic,51.12,Bienal,2,13,10,2,0,1.9,0,7,0
C00255,57,Basic,51.94,Mensal,1,7,4,1,1,1.7,0,6,0
C00256,8,Basic,45.54,Mensal,2,10,11,3,6,0.3,0,2,0
C00257,3,Basic,54.13,Mensal,3,8,1,4,2,13.1,0,4,1
C00258,14,Basic,45.51,Mensal,2,11,13,3,10,2.9,0,7,0
C00259,23,Basic,52.16,Anual,3,11,11,3,7,0.1,0,2,0
C00260,21,Basic,49.37,Mensal,4,10,18,1,3,0.8,0,1,0
C00261,25,Basic,47.77,Mensal,4,9,9,3,10,4.7,0,5,0
C00262,6,Basic,48.0,Anual,1,12,11,2,7,1.0,1,1,0
C00263,32,Enterprise,498.16,Mensal,124,9,2,6,7,0.1,0,6,0
C00264,34,Pro,150.55,Mensal,23,8,16,2,0,0.4,0,6,0
C00265,35,Basic,46.75,Anual,4,20,6,4,2,3.3,0,3,0
C00266,16,Basic,48.43,Mensal,2,7,15,3,6,0.8,0,7,1
C00267,10,Basic,47.11,Anual,2,18,5,1,4,1.8,1,4,0
C00268,9,Pro,139.95,Anual,9,14,7,1,9,0.6,0,3,0
C00269,3,Pro,142.91,Mensal,8,6,5,2,6,1.1,0,7,0
C00270,9,Basic,46.18,Mensal,3,8,18,2,0,2.2,0,4,0
C00271,1,Enterprise,488.52,Mensal,107,8,16,4,9,2.9,0,1,1
C00272,2,Pro,152.22,Anual,22,16,14,4,10,3.2,0,6,0
C00273,16,Pro,149.9,Mensal,12,6,6,4,7,0.6,0,3,0
C00274,11,Basic,53.84,Anual,2,12,14,3,8,2.5,1,2,0
C00275,16,Basic,43.58,Mensal,2,5,10,2,1,3.1,0,6,0
C00276,22,Pro,152.5,Mensal,11,9,14,4,8,0.6,0,6,0
C00277,18,Basic,49.02,Mensal,3,4,6,3,6,0.9,0,3,0
C00278,17,Pro,155.08,Mensal,17,10,11,1,1,4.7,0,7,0
C00279,12,Pro,154.34,Mensal,15,7,19,1,2,0.4,0,7,0
C00280,7,Basic,48.6,Mensal,3,10,2,3,6,3.9,0,1,0
C00281,4,Basic,49.42,Bienal,3,9,15,4,4,4.3,0,4,0
C00282,9,Basic,47.18,Mensal,3,5,14,1,6,3.8,0,5,1
C00283,13,Basic,50.5,Anual,1,7,9,2,10,4.7,1,3,0
C00284,14,Pro,135.0,Mensal,20,5,18,4,6,3.9,0,4,0
C00285,25,Pro,154.79,Anual,16,18,14,6,9,0.4,0,7,0
C00286,12,Basic,48.94,Mensal,2,9,11,3,0,1.4,0,4,1
C00287,20,Pro,145.37,Anual,16,18,6,2,2,2.2,1,1,0
C00288,3,Basic,48.43,Mensal,3,7,14,2,9,2.1,0,6,0
C00289,16,Pro,147.81,Mensal,21,13,2,0,8,3.8,0,2,0
C00290,15,Basic,52.18,Mensal,1,10,5,5,3,0.9,1,1,1
C00291,32,Pro,173.09,Mensal,22,9,9,1,3,2.3,0,1,0
C00292,11,Pro,158.09,Mensal,15,13,5,2,8,3.9,0,6,0
C00293,11,Basic,47.61,Mensal,2,13,11,2,0,4.4,0,7,1
C00294,22,Pro,153.69,Bienal,11,17,17,3,0,0.6,0,1,0
C00295,4,Pro,154.02,Mensal,8,9,7,1,9,1.2,0,1,1
C00296,16,Basic,46.73,Mensal,1,4,8,3,8,0.8,1,7,1
C00297,4,Pro,139.61,Anual,19,14,8,1,9,2.4,0,0,1
C00298,42,Enterprise,497.42,Anual,143,22,14,3,5,1.6,0,4,0
C00299,9,Pro,155.02,Mensal,5,2,14,2,3,4.2,1,2,0
C00300,4,Basic,45.05,Mensal,1,10,5,4,4,1.8,0,1,1
C00301,9,Pro,143.63,Mensal,19,5,18,3,8,1.5,0,4,0
C00302,16,Enterprise,513.29,Mensal,78,5,13,2,2,2.3,0,1,0
C00303,19,Pro,149.31,Mensal,20,6,17,4,0,1.1,0,2,0
C00304,31,Basic,52.47,Anual,2,19,17,1,5,0.8,1,5,0
C00305,8,Basic,45.54,Anual,2,19,11,2,5,3.3,0,2,0
C00306,23,Pro,166.52,Mensal,13,4,14,1,4,4.6,0,7,1
C00307,2,Basic,45.23,Mensal,1,12,12,0,10,0.5,0,4,0
C00308,5,Basic,44.03,Mensal,1,7,12,2,6,0.5,0,0,0
C00309,3,Basic,48.86,Mensal,4,10,11,3,8,0.1,1,5,0
C00310,7,Pro,140.55,Mensal,22,5,5,3,2,5.1,0,4,1
C00311,22,Basic,48.91,Anual,4,16,8,0,6,0.7,0,4,0
C00312,8,Pro,148.45,Mensal,17,7,14,0,3,0.5,0,7,1
C00313,9,Pro,147.54,Bienal,1,21,15,0,4,1.0,0,4,0
C00314,16,Enterprise,477.98,Mensal,59,6,9,2,1,1.0,1,6,0
C00315,19,Pro,152.22,Mensal,22,4,3,1,8,0.1,0,5,0
C00316,10,Basic,48.22,Mensal,4,5,3,2,5,0.1,1,2,1
C00317,5,Pro,157.22,Anual,23,19,17,2,10,0.6,1,7,0
C00318,38,Basic,48.56,Mensal,2,6,3,2,6,4.9,1,5,0
C00319,10,Enterprise,474.93,Mensal,38,13,6,4,2,0.8,0,5,0
C00320,10,Basic,44.87,Mensal,2,8,2,2,7,1.6,0,0,1
C00321,11,Pro,147.72,Anual,15,27,5,4,0,3.0,0,5,0
C00322,20,Pro,139.54,Bienal,24,15,16,0,8,3.2,1,0,0
C00323,3,Basic,45.69,Mensal,3,8,6,2,4,2.4,0,3,0
C00324,48,Pro,152.93,Mensal,15,4,16,1,0,0.3,0,4,0
C00325,10,Basic,44.64,Mensal,3,14,16,1,5,3.9,0,7,0
C00326,21,Basic,52.46,Mensal,3,9,14,0,5,2.2,0,1,0
C00327,4,Basic,49.39,Bienal,3,20,6,3,2,1.5,0,6,0
C00328,15,Basic,48.89,Mensal,2,7,19,3,1,0.4,0,4,0
C00329,43,Pro,141.29,Anual,8,19,12,1,6,1.2,1,4,0
C00330,39,Enterprise,518.07,Bienal,123,8,15,3,4,4.1,0,7,0
C00331,20,Basic,48.99,Anual,1,10,7,2,3,0.4,0,3,0
C00332,6,Pro,143.89,Mensal,24,13,13,2,6,0.2,0,1,0
C00333,30,Pro,150.49,Anual,3,13,13,2,10,1.7,0,0,0
C00334,2,Pro,136.46,Mensal,11,13,12,4,9,2.9,0,2,0
C00335,6,Basic,44.99,Mensal,4,11,12,4,2,3.8,1,7,1
C00336,13,Enterprise,471.05,Bienal,80,27,14,2,4,2.1,0,1,0
C00337,3,Basic,49.86,Mensal,1,8,19,2,8,0.6,0,1,0
C00338,9,Pro,148.98,Mensal,17,5,17,5,1,0.0,0,0,1
C00339,23,Pro,156.81,Mensal,15,10,6,3,10,0.1,0,4,0
C00340,7,Pro,142.15,Mensal,13,10,17,1,4,4.5,1,2,0
C00341,24,Basic,50.41,Anual,2,13,7,2,5,5.5,0,2,0
C00342,56,Basic,48.72,Anual,2,19,5,2,10,0.2,0,4,0
C00343,18,Pro,141.97,Anual,11,15,4,1,2,4.0,0,2,0
C00344,24,Basic,49.94,Mensal,5,9,14,1,1,2.4,1,0,1
C00345,31,Basic,48.84,Mensal,2,14,9,4,9,2.2,1,3,0
C00346,9,Pro,144.31,Mensal,12,6,16,8,7,2.9,1,5,0
C00347,23,Pro,149.31,Mensal,11,5,16,2,4,1.3,0,4,0
C00348,9,Basic,48.68,Anual,5,10,11,0,1,0.0,1,7,0
C00349,17,Basic,48.62,Anual,1,16,5,1,5,4.3,1,0,1
C00350,26,Enterprise,488.71,Anual,91,13,3,3,8,0.4,0,0,0
C00351,6,Basic,45.8,Anual,2,15,19,0,0,2.7,0,1,0
C00352,1,Basic,49.18,Mensal,1,3,6,2,2,1.3,1,0,1
C00353,6,Basic,47.03,Anual,2,21,1,1,3,0.5,0,4,0
C00354,28,Basic,46.5,Anual,3,16,8,1,3,1.1,1,4,0
